id_case,country,authority,date,penalty_fee,subjet,subjet_industry,law,summary_law,summary_case,court_file
ETid-1040,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 400 and EUR 600,Police officer,Individuals and Private Associations,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,A police officer has accessed data in a police database for private research purposes.,https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1041,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 300 and EUR 400,Police officer,Individuals and Private Associations,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,A police officer took photos of an official presentation that contained personal data and shared them in a Whats App group.,https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1042,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 300 and EUR 400,Police officer,Individuals and Private Associations,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,A police officer took photos of an official presentation that contained personal data and shared them in a Whats App group.,https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1043,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 300 and EUR 400,Police officer,Individuals and Private Associations,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,A police officer took photos of an official presentation that contained personal data and shared them in a Whats App group.,https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1044,GERMANY,Data Protection Authority of Hamburg,2020,"3,000",Restaurant,Accomodation and Hospitalty,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Excessive use of video surveillance in violation of the principle of data minimization.,https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1045,GERMANY,Data Protection Authority of Hamburg,2020,Unknown,Company,Industry and Commerce,"Art. 6 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The DPA from Hamburg has issued a fine against a company that operates an online marketplace, especially for worn underwear. The company advertises that it guarantees one hundred percent anonymity. On the platform, users can upload photos of underwear. In most cases, smartphones or other mobile devices were used to take the photos. The camera apps of the smartphones or GPS modules of the cameras often store additional information in the image file alongside the actual image as a standard setting. Based on this data, a fairly precise localization is possible. A review by the DPA revealed that the company had not cleaned up the residual information or metadata in the uploaded photos. Consequently, the data could be entered into any map service and the exact location where the photo was taken could be determined. The number of data subjects involved was approximately around 760 women between the ages of 18 and 50. For this reason, the DPA found that the company had failed to take appropriate technical and organizational measures to ensure a level of security appropriate to the risk posed to the data subjects. In addition, the DPA concluded that the company had unlawfully processed the associated data by uploading the photos without cleaning them.",https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1046,GERMANY,Data Protection Authority of Hamburg,2020,"13,000",Company,Industry and Commerce,Art. 26 (2) GDPR,Insufficient data processing agreement,"The DPA from Hamburg as imposed a fine of EUR 13,000 on a company. An individual had booked and attended a course with a company, but had not paid the course fees incurred. Some time later, he registered for a course at another company of the same parent company and was rejected there. As a reason, he was told that he still had arrears with the company whose courses he had already attended. Following a complaint filed by the individual against the company, the DPA launched an investigation. It found that those companies shared a common database. It pointed out that the maintenance of a common customer database by several, legally independent companies, leads to joint responsibility according to Art. 26 GDPR. According to Art. 26 (2) GDPR, this requires an agreement that reflects the respective actual functions and relationships of the jointly responsible parties towards data subjects. However, such an agreement did not exist.",https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1047,SPAIN,Spanish Data Protection Authority (aepd),2022-02-02,"2,000","ASESORES DE SEGURIDAD PRIVADA, S.L.","Finance, Insurance and Consulting",Art. 13 GDPR,Insufficient fulfilment of information obligations,"The Spanish DPA has imposed a fine of EUR 2,000 on ASESORES DE SEGURIDAD PRIVADA, S.L.. The DPA criticized that the controller did not sufficiently inform the data subject about data processing, as required by Art. 13 GDPR.",https://www.aepd.es/es/documento/ps-00221-2021.pdf
ETid-1048,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 50 and EUR 100,Restaurant,Accomodation and Hospitalty,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"In order to combat the Covid 19 pandemic, a restaurant had put out an open list in which visitors had to enter their contact data. The fact that the list was openly displayed would have made it possible for unauthorized third parties to gain access to the data.",https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1049,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 50 and EUR 100,Restaurant,Accomodation and Hospitalty,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"In order to combat the Covid 19 pandemic, a restaurant had put out an open list in which visitors had to enter their contact data. The fact that the list was openly displayed would have made it possible for unauthorized third parties to gain access to the data.",https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1050,GERMANY,Data Protection Authority of Hamburg,2020,Fine amount between EUR 50 and EUR 100,Restaurant,Accomodation and Hospitalty,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"In order to combat the Covid 19 pandemic, a restaurant had put out an open list in which visitors had to enter their contact data. The fact that the list was openly displayed would have made it possible for unauthorized third parties to gain access to the data.",https://datenschutz-hamburg.de/assets/pdf/29._taetigkeitsbericht_datenschutz_2020.PDF
ETid-1051,BELGIUM,Belgian Data Protection Authority (APD),2022-02-02,"250,000",IAB Europe,"Media, Telecoms and Broadcasting","Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 9 (1), (2) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 24 (1) GDPR, Art. 30 GDPR, Art. 31 GDPR, Art. 32 (1), (2) GDPR, Art. 37 GDPR",Insufficient legal basis for data processing,"The Belgian DPA has imposed a fine of EUR 250,000 on IAB Europe. The DPA had received several complaints against IAB Europe since 2019. In the context of this complaint, the compliance of the 'Transparency & Consent Framework (TCF)' with the GDPR was mainly questioned. The TCF was developed by IAB to promote compliance with the GDPR by organizations using the OpenRTB protocol. 

The OpenRTB protocol is a protocol for 'real-time bidding,' which is the automated online auction of user profiles for the sale and purchase of advertising space on the Internet. When users visit a website that contains an ad space, technology companies, through an automated auction system, can bid in real time for that ad space to display personalized advertising. 

When users visit a website for the first time, an interface appears through which they can consent to the collection and sharing of their personal information or object to various types of processing. 

As part of the TCF, a consent management tool appears during this process. The tool allows the user to object to certain types of data processing. The TCF registers the user's preferences through the tool by generating a TC string and sends it to all partners participating in the OpenRTB system. Based on this TC string, user profiles are compiled, which are then passed on to advertisers. This makes it visible to them what kind of data processing the users have agreed to. 

Within the scope of its investigation against IAB, the DPA identified a number of violations of the GDPR.

It found that the TC strings already constituted personal data and therefore IAB was required to have a legal basis for processing these data. However, IAB was unable to demonstrate any such legal basis.

In addition, IAB did not properly inform users about the functioning of the TCF. For example, the information provided to users was too generic and vague to understand the scope of the data processing. 

Furthermore, IAB had not maintained a register of its processing activities, had not appointed a data protection officer, as well as had not conducted a data protection impact assessment.",https://www.dataprotectionauthority.be/iab-europe-held-responsible-for-a-mechanism-that-infringes-the-gdpr
ETid-1052,SPAIN,Spanish Data Protection Authority (aepd),2022-02-04,900,Private person,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,Unlawful usage of video surveillance cameras which also monitored parts of the public space (violation of principle of data minimization).,https://www.aepd.es/es/documento/ps-00460-2021.pdf
ETid-1053,SPAIN,Spanish Data Protection Authority (aepd),2022-02-04,"300,000","SEGURCAIXA ADESLAS, S.A. DE SEGUROS Y REASEGUROS","Finance, Insurance and Consulting","Art. 6 GDPR, Art. 17 GDPR, Art. 28 GDPR",Insufficient legal basis for data processing,"The Spanish DPA (AEPD) fined SEGURCAIXA ADESLAS, S.A. DE SEGUROS Y REASEGUROS. in the amount of EUR 300,000. The data subject had received marketing emails from the controller despite being registered in the Robinson advertising exclusion list. The sending of the emails continued even after the data subject asked for their data to be deleted.",https://www.aepd.es/es/documento/ps-00322-2021.pdf
ETid-1054,ITALY,Italian Data Protection Authority (Garante),2021-12-17,"10,000",ASL Latina,Health Care,"Art. 5 (1) f) GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The Italian DPA (Garante) fined ASL Latina EUR 10,000. The controller had mistakenly sent documents containing health data of the data subject to an uninvolved third party.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9742435
ETid-1055,SPAIN,Spanish Data Protection Authority (aepd),2022-02-01,"3,940,000","Vodafone España, S.A.U.","Media, Telecoms and Broadcasting","Art. 5 (1) f) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles,"The Spanish DPA has fined Vodafone España, S.A.U. EUR 3.94 million. Nine Vodafone customers had filed complaints with the DPA. In the course of its investigation, the DPA found that fraudsters had pretended to be the data subjects when contacting Vodafone and had demanded a copy of their SIM cards. As a result, they were able to conclude contracts at the expense of the data subjects and carry out various transfers. According to the DPA, Vodafone had not properly verified the identity of the fraudsters before issuing the SIM cards and ensured that the inquirers were really the SIM card holders due to a lack of sufficient security measures.",https://www.aepd.es/es/documento/ps-00001-2021.pdf
ETid-1056,SPAIN,Spanish Data Protection Authority (aepd),2022-02-01,"70,000","ORANGE ESPAÑA VIRTUAL, S.L.","Media, Telecoms and Broadcasting",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"The Spanish DPA has fined ORANGE ESPAÑA VIRTUAL, S.L. EUR 70,000. Two Orange España Virtual customers had filed complaints with the DPA. In the course of its investigation, the DPA found that fraudsters had pretended to be the data subjects when contacting Orange España Virtual and had demanded a copy of their SIM cards. As a result, they were able to conclude contracts at the expense of the data subjects and carry out various transfers. According to the DPA ,Orange España Virtual had not properly verified the identity of the fraudsters before issuing the SIM cards and ensured that the inquirers were really the SIM card holders.",https://www.aepd.es/es/documento/ps-00046-2021.pdf
ETid-1057,SPAIN,Spanish Data Protection Authority (aepd),2022-02-01,"700,000",Orange Espagne S.A.U.,"Media, Telecoms and Broadcasting",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"The Spanish DPA has fined Orange Espagne S.A.U. EUR 700,000. Two Orange Espagne  customers had filed complaints with the DPA. In the course of its investigation, the DPA found that fraudsters had pretended to be the data subjects when contacting Orange Espagne  and had demanded a copy of their SIM cards. As a result, they were able to conclude contracts at the expense of the data subjects and carry out various transfers. According to the DPA, Orange Espagne had not properly verified the identity of the fraudsters before issuing the SIM cards and ensured that the inquirers were really the SIM card holders.",https://www.aepd.es/es/documento/ps-00022-2021.pdf
ETid-1058,SPAIN,Spanish Data Protection Authority (aepd),2022-02-01,"200,000","XFERA MÓVILES, S.A.","Media, Telecoms and Broadcasting",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"The Spanish DPA has fined XFERA MÓVILES, S.A. EUR 200,000. Two Xfera customers had filed complaints with the DPA. In the course of its investigation, the DPA found that fraudsters had pretended to be the data subjects when contacting Xfera and had demanded a copy of their SIM cards. As a result, they were able to conclude contracts at the expense of the data subjects and carry out various transfers. According to the DPA, Xfera had not properly verified the identity of the fraudsters before issuing the SIM cards and ensured that the inquirers were really the SIM card holders.",https://www.aepd.es/es/documento/ps-00027-2021.pdf
ETid-1059,SPAIN,Spanish Data Protection Authority (aepd),2022-02-01,"900,000","TELEFÓNICA MÓVILES ESPAÑA, S.A.U.","Media, Telecoms and Broadcasting",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"The Spanish DPA has fined TELEFÓNICA MÓVILES ESPAÑA, S.A.U. EUR 900,000. Four Telefónica customers had filed complaints with the DPA. In the course of its investigation, the DPA found that fraudsters had pretended to be the data subjects when contacting Telefónica and had demanded a copy of their SIM cards. As a result, they were able to conclude contracts at the expense of the data subjects and carry out various transfers. According to the DPA, Telefónica had not properly verified the identity of the fraudsters before issuing the SIM cards and ensured that the inquirers were really the SIM card holders.",https://www.aepd.es/es/documento/ps-00021-2021.pdf
ETid-1060,SPAIN,Spanish Data Protection Authority (aepd),2022-02-07,"1,000",Cafe operator,Accomodation and Hospitalty,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,The cafe used CCTV cameras which also captured the public space outside resulting in a violation of the so called principle of data minimisation.,https://www.aepd.es/es/documento/ps-00494-2021.pdf
ETid-1061,SPAIN,Spanish Data Protection Authority (aepd),2022-02-04,"2,000",Private individual,Individuals and Private Associations,Art. 6 (1) a) GDPR,Insufficient legal basis for data processing,"The Spanish DPA has imposed a fine of EUR 2,000 on a private individual. The individual had published audiovisual material of a court trial on Twitter without obtaining the consent of the witnesses and parties to the trial that could be seen on it.",https://www.aepd.es/es/documento/ps-00505-2021.pdf
ETid-1062,SPAIN,Spanish Data Protection Authority (aepd),2022-02-07,"10,000","PINTODIS, S.L.",Employment,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Spanish DPA has fined PINTODIS, S.L. EUR 10,000. The controller had installed several video cameras which also covered the food areas and changing rooms of their employees. The Spanish DPA stated that the controller violated the principle of data minimization, as such extensive surveillance was not necessary.",https://www.aepd.es/es/documento/ps-00337-2021.pdf
ETid-1063,ITALY,Italian Data Protection Authority (Garante),2021-12-16,"100,000",Ubi Banca spa,"Finance, Insurance and Consulting","Art. 5 (1) a), c) GDPR",Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 100,000 on Ubi Banca spa (now Intesa Sanpaolo spa). A data subject had filed a complaint with the DPA for receiving a letter from the controller, with the envelope stating 'anomalous credit Chieti'. However, the letter did not contain payment reminders but only information about the transparency of banking and financial services. For this reason, the DPA found that the controller had violated the principles of lawfulness and transparency as well as the principle of data minimization.  After all, the term on the envelope could enable third parties to obtain information about the recipient's financial situation, regardless of the contents in the envelope.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9742468
ETid-1064,ITALY,Italian Data Protection Authority (Garante),2021-12-16,"20,000",FCA Italy s.p.a.,Industry and Commerce,Art. 12 GDPR,Insufficient fulfilment of data subjects rights,"The Italian DPA has fined FCA Italy s.p.a. EUR 20,000. A former customer of the controller had asked the controller to provide him with the transcripts of telephone conversations between him and the customer service he had previously contacted regarding a malfunction of the instruments of one of his vehicles, as well as the documents relating to this case. However, the controller did not comply with this request.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9742908
ETid-1065,ITALY,Italian Data Protection Authority (Garante),2022-01-13,"7,500",Azienda Sanitaria Locale Frosinone,Health Care,"Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,"The Italian DPA has fined Azienda Sanitaria Locale Frosinone EUR 7,500. In the course of its investigation against the medical facility, the Garante found that their privacy policy showed significant deficiencies. For example, the facility had indicated several purposes for processing the data, but the relevant legal bases for doing so were not always indicated. Those legal bases that were stated were often incorrect or contradictory. In addition, the facility did not provide sufficient information on the storage periods of the collected data.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9742959
ETid-1066,ITALY,Italian Data Protection Authority (Garante),2021-12-16,"1,000",Università Telematica Internazionale Uninettuno,Public Sector and Education,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 1,000 on Università Telematica Internazionale Uninettuno. A professor had filed a complaint with the DPA against the educational institution. The professor had applied for a position at the university and submitted his CV for this purpose. The university then published it without blacking out certain personal data that concerned his personal sphere. The DPA considered this to be a violation of the principle of data minimization.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9742923
ETid-1067,ITALY,Italian Data Protection Authority (Garante),2022-01-13,"4,000",Medicina & Lavoro s.r.l.,Health Care,"Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,Failure to respond to the data subject's request for access to their data in a timely manner.,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9744655
ETid-1068,ITALY,Italian Data Protection Authority (Garante),2022-01-13,"14,000",Azienda sanitaria unica regionale Marche,Health Care,"Art. 5 (1) f) GDPR, Art. 32 GDPR, Art. 35 GDPR",Insufficient technical and organisational measures to ensure information security,"The Italian DPA has imposed a fine of EUR 14,000 on Azienda sanitaria unica regionale Marche. The DPA launched an investigation against the health department following media reports of deficiencies in the system used to collect and manage Covid 19 screening data. The health department used an app that generated QR codes for people who were tested for Covid-19.  The QR code was generated based on a progressive criterion rather than on a random basis. Thus, each person was assigned a number. Because of this, it would have been possible for unauthorized persons to change a digit and gain access to another person's profile and thus personal data. The DPA found that the health authority failed to implement adequate technical and organizational measures to ensure a level of security appropriate to the risk to the data subjects.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9744496
ETid-1069,POLAND,Polish National Personal Data Protection Office (UODO),2021-12-01,"4,000",Pactum Poland Sp. z o.o.,Industry and Commerce,"Art. 31 GDPR, Art. 58 (1) e) GDPR",Insufficient cooperation with supervisory authority,Fine for not answering requests for further information of the supervisory authority in due time following a data breach.,https://uodo.gov.pl/decyzje/DKE.561.16.2021
ETid-1070,NORWAY,Norwegian Supervisory Authority (Datatilsynet),2022-02-01,"5,000",Etterforsker1 Gruppen AS,"Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The Norwegian DPA (Datatilsynet) fined Etterforsker1 Gruppen AS EUR 5,000. The controller had carried out a credit check on an individual, although there was no legal basis for doing so.",https://www.datatilsynet.no/contentassets/81543616aa3049f8be77b0b3ab66d353/vedtak-om-palegg-og-overtredelsesgebyr---etterforsker1.pdf
ETid-1071,SPAIN,Spanish Data Protection Authority (aepd),2022-02-14,"1,600","RECLAMADOR, S.L.","Finance, Insurance and Consulting","Art. 17 GDPR, Art. 21 LSSI",Insufficient fulfilment of data subjects rights,"The Spanish DPA (AEPD) has imposed a fine RECLAMADOR, S.L.. A data subject had filed a complaint with the AEPD against the controller due to the fact that the controller continued to send him SMS advertisements, despite the fact that he had requested the deletion of his data and the controller had confirmed the deletion. The fine is composed proportionally of EUR 1000 for a breach of Art. 17 GDPR and EUR 1000 for a breach of Art. 21 LSSI. The original fine in the amount of EUR 2,000 has been reduced to EUR 1,800 due to immediate and voluntary payment.",https://www.aepd.es/es/documento/ps-00540-2021.pdf
ETid-1072,ITALY,Italian Data Protection Authority (Garante),2022-01-13,"1,000",Villa Masi Residenza per anziani,Health Care,Art. 13 GDPR,Insufficient fulfilment of information obligations,Inexistence of signalization regarding the use of CCTV systems in a nursing care facility.,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9745262
ETid-1073,SPAIN,Spanish Data Protection Authority (aepd),2022-02-11,"2,000,000",Amazon Road Transport Spain S.L.,Transportation and Energy,"Art. 6 (1) GDPR, Art. 10 GDPR, Art. 10 LOPDGDD",Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has fined Amazon Road Transport Spain S.L. EUR 2,000,000. The AEPD had received a complaint from a trade union against the company. Amazon Road required certificates confirming the absence of criminal records when hiring drivers. Amazon Road believed that these certifications were not subject to Art. 10 GDPR. However, contrary to Amazon Road's interpretation, the AEPD determined that these data do fall under Art. 10 GDPR. During its investigation, the AEPD concluded that the processing of these data consequently did not comply with the requirements of Art. 10 GDPR. For this reason, the DPA came to the conclusion that Amazon Road had processed the data on the absence of criminal records without a valid legal basis.",https://www.aepd.es/es/documento/ps-00267-2020.pdf
ETid-1074,SPAIN,Spanish Data Protection Authority (aepd),2022-02-16,"6,000",Private individual,Individuals and Private Associations,Art. 6 (1) a) GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 6,000 on a private individual. The data subject had filed a complaint against the data controller for publishing images of herself in a bikini on a website without prior authorization. The data subject had originally uploaded the images of herself in a bikini to the second-hand platform Vinted, where she offered the bikini for sale.",https://www.aepd.es/es/documento/ps-00432-2021.pdf
ETid-1075,ITALY,Italian Data Protection Authority (Garante),2022-01-13,"1,000",A.S.L. Napoli 1 Centro,Employment,"Art. 5 GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing,"The Italian DPA (Garante) has imposed a fine of EUR 1,000 on A.S.L. Napoli 1 Centro. An employee at the health authority had filed a complaint with the DPA against the authority.An employee at the health authority had filed a complaint with the DPA against the authority. The health authority had published a press release on its website containing personal data of the data subject and information about a disciplinary procedure.The health authority believed that the publication was lawful since the data subject had already given this information to the press, which in turn had published a report on the matter. However, the DPA concluded that the authority still needed a valid legal basis for the publication, regardless of whether the information had already been published on other media.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9745807
ETid-1076,ITALY,Italian Data Protection Authority (Garante),2022-01-27,"2,000",Private club 'Ruian',Individuals and Private Associations,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,"The Italian DPA (Garante) has imposed a fine of EUR 2,000 on the private club 'Ruian'. The controller had installed video surveillance cameras which, among other things, also covered the public space. The DPA considered this to be a violation of the principle of data minimization. In addition, the controller had not properly informed about the processing of the data by the video surveillance and thus violated its duty to inform.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9746047
ETid-1077,GREECE,Hellenic Data Protection Authority (HDPA),2022-02-15,"30,000",ΛΙΜΕΝΟΣ ΗΡΑΚΛΕΙΟΥ Α.Ε.,Individuals and Private Associations,"Art. 12 (1), (2) GDPR, Art. 15 (1) GDPR",Insufficient fulfilment of data subjects rights,"The Hellenic DPA has imposed a fine of EUR 30,000 on the ΛΙΜΕΝΟΣ ΗΡΑΚΛΕΙΟΥ Α.Ε. organization. A data subject who had suffered a car accident on the organization's premises filed a complaint against the organization with the DPA. The organization operated a video surveillance system which, among other things, also recorded the car accident. In connection with the accident, the data subject requested the organization to grant them access to the recordings. However, the organization did not comply with this request.",https://www.dpa.gr/sites/default/files/2022-02/61_2021anonym.pdf
ETid-1078,ITALY,Italian Data Protection Authority (Garante),2022-01-27,"40,000",T.S.M. s.r.l.,Industry and Commerce,"Art. 13 GDPR, Art. 15 GDPR, Art. 21 GDPR, Art. 157 Codice della privacy, Art. 166 (2) Codice della privacy",Insufficient fulfilment of data subjects rights,"The Italian DPA has imposed a fine of EUR 40,000 on T.S.M. s.r.l.. A data subject had filed a complaint with the DPA against the company for failing to comply with their requests to delete their data and object to the future processing of their personal data.",https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9746068
ETid-1079,SPAIN,Spanish Data Protection Authority (aepd),2022-02-18,"2,500",Private person,Individuals and Private Associations,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 2,500 on a private individual. The controller had installed video surveillance cameras at his house which, among other things, also covered the public space and neighbor properties. The DPA considered this to be a violation of the principle of data minimization. In addition, the information signs regarding the video surveillance were blurred and thus not well readable. The DPA considered this to be a breach of the duty to inform pursuant to Art. 13 GDPR.",https://www.aepd.es/es/documento/ps-00408-2021.pdf
ETid-1080,SPAIN,Spanish Data Protection Authority (aepd),2022-02-21,"1,500","RESTATURANTE FUENTEBRO, S.C.",Accomodation and Hospitalty,Art. 13 GDPR,Insufficient fulfilment of information obligations,"The Spanish DPA (AEPD) has fined RESTATURANTE FUENTEBRO, S.C. EUR 1,500 for failing to provide information signs about CCTV surveillance in the establishment.",https://www.aepd.es/es/documento/ps-00463-2021.pdf
ETid-1081,SPAIN,Spanish Data Protection Authority (aepd),2022-02-21,"1,000",Store owner,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,"The Spanish DPA (AEPD) has fined a store owner EUR 1,000 for failing to provide information signs about CCTV surveillance in the establishment.",https://www.aepd.es/es/documento/ps-00517-2021.pdf
ETid-1082,ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2022-02-22,"1,000","Civil law firm 'Sabou, Burz & Cuc'","Finance, Insurance and Consulting","Art. 5 (1) a), b), c), f) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Romanian DPA has fined the civil law firm 'Sabou, Burz & Cuc' EUR 1,000. The DPA launched an investigation after a client complained that the controller had published their personal data in a WhatsApp group used by several lawyers of a bar association without their prior consent. The DPA found that the controller had processed the data without a valid legal basis, as they had published the data for a purpose other than that originally agreed with the data subject.",https://www.dataprotection.ro/?page=Comunicat_Presa_22_02_2022_2&lang=ro
ETid-1083,ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2022-02-22,"3,000",IAMSAT Muntenia SA,Employment,"Art. 12 GDPR, Art. 13 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,"The Romanian DPA has imposed a fine of EUR 3,000 on IAMSAT Muntenia SA. 

The DPA launched an investigation following a complaint from a former employee who claimed that the controller continued to process their personal data even after the termination of their employment contract in 2020. The data subject had previously stated that they would not agree to the continued use of their email address and that they objected to the processing of their personal data by the controller or/and by third parties after the termination of their employment contract.

In the course of its investigation, the DPA also found that the controller had not informed its employees, including the data subject, in advance and comprehensively about the processing of their personal data by a video surveillance system at the workplace.",https://www.dataprotection.ro/?page=Comunicat_Presa_22_02_2022_1&lang=ro
ETid-1084,SPAIN,Spanish Data Protection Authority (aepd),2022-02-22,"1,000","MALAGATROM, S.L.U.",Industry and Commerce,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority,"The Spanish DPA has imposed a fine of EUR 1,000 on MALAGATROM, S.L.U. for failing to comply with an order issued by the DPA.",https://www.aepd.es/es/documento/ps-00551-2021.pdf
ETid-1085,POLAND,Polish National Personal Data Protection Office (UODO),2022-01-19,"117,000",Santander Bank Polska S. A.,"Finance, Insurance and Consulting",Art. 34 (1) GDPR,Insufficient fulfilment of data breach notification obligations,"The Polish DPA has fined Santander Bank Polska S.A. EUR 118,000 for failing to notify data subjects of a data breach. 
A former employee of the bank managed to gain unauthorized access to a database for electronic services. Among other things, this allowed numerous Santander customers' data to be accessed. 

Due to the high risk for the data of the data subjects, the bank would have been obliged to inform them of the data breach. However, the bank deliberately refrained from doing so and continued to state that it would not comply with this obligation in the future.

The DPA noted that this constituted a major intrusion for the data subjects, as they did not have the opportunity to take appropriate steps to protect their rights.",https://www.uodo.gov.pl/pl/138/2303
ETid-1086,SPAIN,Spanish Data Protection Authority (aepd),2022-02-22,"3,000",Hotel operator,Accomodation and Hospitalty,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,000 on a hotel operator. The controller had installed video surveillance cameras  which, among other things, also covered the public space and parts of the hotels pool area. The DPA considered this to be a violation of the principle of data minimization. In addition, the controller did not comply with its duty to properly inform about the CCTV.",https://www.aepd.es/es/documento/ps-00488-2021.pdf
ETid-1087,SPAIN,Spanish Data Protection Authority (aepd),2022-02-23,"1,200","FRUTAS Y VERDURAS LOS CAMPEONES, S.L.",Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,"The Spanish DPA (AEPD) has imposed a fine of EUR 1,000 on FRUTAS Y VERDURAS LOS CAMPEONES, S.L.. The controller had installed a video surveillance system, however, without having placed signs informing about the use of video surveillance.",https://www.aepd.es/es/documento/ps-00558-2021.pdf
